sample_id	sequence_length	dataset	k	n_top_k
0	54	EA_positive	1	23.0
0	54	EA_positive	5	40.0
0	54	EA_positive	10	47.0
0	54	EA_positive	20	49.0
1	41	positive	1	19.0
1	41	positive	5	30.0
1	41	positive	10	33.0
1	41	positive	20	38.0
2	72	EA_positive	1	29.0
2	72	EA_positive	5	50.0
2	72	EA_positive	10	57.0
2	72	EA_positive	20	65.0
3	47	EA_negative	1	21.0
3	47	EA_negative	5	30.0
3	47	EA_negative	10	35.0
3	47	EA_negative	20	39.0
4	41	positive	1	19.0
4	41	positive	5	31.0
4	41	positive	10	36.0
4	41	positive	20	39.0
5	68	EA_positive	1	30.0
5	68	EA_positive	5	49.0
5	68	EA_positive	10	59.0
5	68	EA_positive	20	61.0
6	47	EA_negative	1	20.0
6	47	EA_negative	5	32.0
6	47	EA_negative	10	37.0
6	47	EA_negative	20	40.0
7	54	EA_positive	1	22.0
7	54	EA_positive	5	36.0
7	54	EA_positive	10	41.0
7	54	EA_positive	20	45.0
8	47	EA_negative	1	24.0
8	47	EA_negative	5	34.0
8	47	EA_negative	10	37.0
8	47	EA_negative	20	41.0
9	70	EA_positive	1	32.0
9	70	EA_positive	5	54.0
9	70	EA_positive	10	57.0
9	70	EA_positive	20	65.0
10	55	EA_positive	1	25.0
10	55	EA_positive	5	42.0
10	55	EA_positive	10	46.0
10	55	EA_positive	20	49.0
11	51	EA_positive	1	26.0
11	51	EA_positive	5	39.0
11	51	EA_positive	10	45.0
11	51	EA_positive	20	46.0
12	47	EA_negative	1	21.0
12	47	EA_negative	5	32.0
12	47	EA_negative	10	35.0
12	47	EA_negative	20	40.0
13	53	EA_positive	1	27.0
13	53	EA_positive	5	40.0
13	53	EA_positive	10	45.0
13	53	EA_positive	20	47.0
14	74	EA_positive	1	27.0
14	74	EA_positive	5	50.0
14	74	EA_positive	10	59.0
14	74	EA_positive	20	66.0
15	73	EA_positive	1	29.0
15	73	EA_positive	5	54.0
15	73	EA_positive	10	62.0
15	73	EA_positive	20	67.0
16	53	EA_positive	1	21.0
16	53	EA_positive	5	36.0
16	53	EA_positive	10	44.0
16	53	EA_positive	20	48.0
17	25	negative	1	8.0
17	25	negative	5	13.0
17	25	negative	10	16.0
17	25	negative	20	23.0
18	63	EA_positive	1	24.0
18	63	EA_positive	5	43.0
18	63	EA_positive	10	48.0
18	63	EA_positive	20	53.0
19	47	EA_negative	1	25.0
19	47	EA_negative	5	33.0
19	47	EA_negative	10	35.0
19	47	EA_negative	20	39.0
20	25	negative	1	7.0
20	25	negative	5	14.0
20	25	negative	10	18.0
20	25	negative	20	23.0
21	72	EA_positive	1	29.0
21	72	EA_positive	5	52.0
21	72	EA_positive	10	60.0
21	72	EA_positive	20	65.0
22	41	positive	1	18.0
22	41	positive	5	27.0
22	41	positive	10	32.0
22	41	positive	20	40.0
23	65	EA_positive	1	29.0
23	65	EA_positive	5	48.0
23	65	EA_positive	10	52.0
23	65	EA_positive	20	60.0
24	25	negative	1	6.0
24	25	negative	5	13.0
24	25	negative	10	14.0
24	25	negative	20	20.0
25	66	EA_positive	1	26.0
25	66	EA_positive	5	48.0
25	66	EA_positive	10	58.0
25	66	EA_positive	20	59.0
26	62	EA_positive	1	30.0
26	62	EA_positive	5	41.0
26	62	EA_positive	10	47.0
26	62	EA_positive	20	52.0
27	41	positive	1	19.0
27	41	positive	5	29.0
27	41	positive	10	32.0
27	41	positive	20	36.0
28	41	positive	1	19.0
28	41	positive	5	27.0
28	41	positive	10	29.0
28	41	positive	20	37.0
29	71	EA_positive	1	31.0
29	71	EA_positive	5	51.0
29	71	EA_positive	10	60.0
29	71	EA_positive	20	65.0
30	54	EA_positive	1	21.0
30	54	EA_positive	5	34.0
30	54	EA_positive	10	44.0
30	54	EA_positive	20	46.0
31	47	EA_negative	1	21.0
31	47	EA_negative	5	34.0
31	47	EA_negative	10	34.0
31	47	EA_negative	20	41.0
32	41	positive	1	17.0
32	41	positive	5	30.0
32	41	positive	10	31.0
32	41	positive	20	38.0
33	60	EA_positive	1	24.0
33	60	EA_positive	5	40.0
33	60	EA_positive	10	52.0
33	60	EA_positive	20	56.0
34	41	positive	1	17.0
34	41	positive	5	31.0
34	41	positive	10	35.0
34	41	positive	20	38.0
35	60	EA_positive	1	24.0
35	60	EA_positive	5	40.0
35	60	EA_positive	10	47.0
35	60	EA_positive	20	55.0
36	47	EA_negative	1	22.0
36	47	EA_negative	5	32.0
36	47	EA_negative	10	35.0
36	47	EA_negative	20	41.0
37	72	EA_positive	1	33.0
37	72	EA_positive	5	51.0
37	72	EA_positive	10	59.0
37	72	EA_positive	20	64.0
38	41	positive	1	18.0
38	41	positive	5	30.0
38	41	positive	10	34.0
38	41	positive	20	40.0
39	41	positive	1	19.0
39	41	positive	5	31.0
39	41	positive	10	32.0
39	41	positive	20	38.0
40	54	EA_positive	1	22.0
40	54	EA_positive	5	36.0
40	54	EA_positive	10	43.0
40	54	EA_positive	20	45.0
41	25	negative	1	8.0
41	25	negative	5	13.0
41	25	negative	10	16.0
41	25	negative	20	19.0
42	55	EA_positive	1	21.0
42	55	EA_positive	5	40.0
42	55	EA_positive	10	45.0
42	55	EA_positive	20	49.0
43	58	EA_positive	1	24.0
43	58	EA_positive	5	42.0
43	58	EA_positive	10	48.0
43	58	EA_positive	20	53.0
44	47	EA_negative	1	23.0
44	47	EA_negative	5	33.0
44	47	EA_negative	10	35.0
44	47	EA_negative	20	42.0
45	66	EA_positive	1	33.0
45	66	EA_positive	5	48.0
45	66	EA_positive	10	54.0
45	66	EA_positive	20	58.0
46	56	EA_positive	1	17.0
46	56	EA_positive	5	34.0
46	56	EA_positive	10	39.0
46	56	EA_positive	20	46.0
47	41	positive	1	18.0
47	41	positive	5	27.0
47	41	positive	10	30.0
47	41	positive	20	38.0
